model,strategy,CAGR,vol,Sharpe,Sortino,MaxDD,Calmar,hit_rate,avg_turnover,n_rebalances,n_stops_total,stop_loss_savings_total,stop_commission_total
ew,quintile_short,-0.10939661853146943,0.16630255156596915,-0.6133884446124719,-0.8560050660836603,-0.5354761216745063,-0.2042978465395831,0.41509433962264153,0.13333699820185932,212,234,0.1655947055596408,0.013751562405730047
ew,long_short_quintile,0.08907454339824361,0.15237634506836073,0.6359384912464768,1.0152743428382667,-0.2652227405519164,0.33584806194553135,0.5,0.2607278012816448,212,1003,0.7323079042969145,0.05871280670577781
gbm_cls,quintile_short,0.04506460853894567,0.2045237853881909,0.31503135306438895,0.5300365213122716,-0.3488655617114157,0.12917471222402704,0.494949494949495,0.39045136948813625,99,455,0.5484018285324196,0.025978018005047836
gbm_cls,long_short_quintile,0.18657915212054732,0.145992280273166,1.2454649592396059,2.105023284812217,-0.22374763498842354,0.8338821196040831,0.5656565656565656,0.758851286897657,99,610,0.6613012822264955,0.03486684888318177
gbm_rank,quintile_short,0.17411829824768055,0.2529574775226036,0.7585244810163263,1.314022696963326,-0.3516642007517008,0.4951265948467131,0.5050505050505051,0.30212055287012135,99,637,0.7928996222143389,0.03642627952566787
gbm_rank,long_short_quintile,0.2615097038415801,0.1976865880351688,1.27501996598101,2.0869612043411547,-0.3053565979037195,0.8564075760499384,0.6060606060606061,0.5375598476959523,99,687,0.8323557839006037,0.03929863990813102
logit,quintile_short,-0.03211566291728252,0.1605896951714399,-0.12510680097605703,-0.1959897887118257,-0.32355412404968364,-0.09925901272811768,0.4835164835164835,0.15497600082914476,91,89,0.1544925251442821,0.009362295021879597
logit,long_short_quintile,0.20594586252840452,0.10906623861082636,1.7732312738914788,3.5254590144627556,-0.09848689256086085,2.091099202882642,0.5714285714285714,0.3034055768486129,91,137,0.219890175132709,0.014393718924133398
naive,quintile_short,0.09982672414527105,0.21689593355232117,0.5460694122843511,0.8683634056196158,-0.29357458202750775,0.340038716757561,0.49528301886792453,0.051734631355161285,212,568,0.5704665451855548,0.033163496561870086
naive,long_short_quintile,0.3453181239847003,0.13402456807276725,2.2855167767506517,4.521838365598324,-0.06415380282814276,5.382660244003764,0.6084905660377359,0.17044510669000185,212,1172,1.0612675284223412,0.06838567270934848
