model,strategy,period,CAGR,vol,Sharpe,Sortino,MaxDD,Calmar,hit_rate,avg_turnover,n_rebalances,n_stops_total
naive,quintile_short,ALL,-0.29238795722231736,0.23913650935529598,-1.3006730793968513,-1.3817975690872197,-0.9960455638535666,-0.2935487771172913,0.34554973821989526,0.12139673760378698,191,1464
naive,quintile_short,IS,-0.29361502998848477,0.24630150777706367,-1.2622658433841667,-1.3582264077982042,-0.9888801801984506,-0.29691669007822713,0.3333333333333333,0.12168617465528132,156,1088
naive,quintile_short,OOS,-0.28689274331156045,0.2073929807210816,-1.5027720716452926,-1.5034490255260426,-0.6617049979362835,-0.43356593074907646,0.4,0.12010667531712649,35,376
naive,long_short_quintile,ALL,-0.15865332137655674,0.16237728774376306,-0.9737182363877375,-1.0977232585566847,-0.9534630421706092,-0.16639692820748883,0.41361256544502617,0.36806712998715785,191,1464
naive,long_short_quintile,IS,-0.16298935937793124,0.16732955396552543,-0.970643985607354,-1.1029700600575758,-0.9252036411140097,-0.176165929461411,0.41025641025641024,0.38392703999810934,156,1088
naive,long_short_quintile,OOS,-0.1390521657127236,0.14021240208495153,-0.990709057936108,-1.0792935061662097,-0.3738124171298599,-0.3719838061570272,0.42857142857142855,0.297377245366917,35,376
ew,quintile_short,ALL,-0.41355750755647447,0.2791762978682488,-1.7218023237720077,-1.6885882186604764,-0.9998040735028028,-0.4136385503087422,0.2879581151832461,0.2608633547409245,191,2333
ew,quintile_short,IS,-0.42636285786568373,0.28720208433382466,-1.7383300056016653,-1.7022650612794992,-0.9992331720349752,-0.42669005573281765,0.28205128205128205,0.26384694757659916,156,1786
ew,quintile_short,OOS,-0.3529151041431816,0.242466100429957,-1.6412061534592228,-1.64061412915176,-0.7457407172549442,-0.47324102865437556,0.3142857142857143,0.24756505524477476,35,547
ew,long_short_quintile,ALL,-0.2814675622113503,0.20728682893781294,-1.4656867240394515,-1.5019212078823436,-0.9950079041388049,-0.28287972491531604,0.3403141361256545,0.5739547489353123,191,2333
ew,long_short_quintile,IS,-0.2978492618458256,0.20550753174855887,-1.588479529293599,-1.5739831047483708,-0.9892855639692643,-0.30107511187242936,0.33974358974358976,0.5818335761994101,156,1786
ew,long_short_quintile,OOS,-0.20367707135839686,0.2156657115210461,-0.9411138430953003,-1.142121492167582,-0.5616027487959092,-0.36267107273795535,0.34285714285714286,0.538837690272476,35,547
logit,quintile_short,ALL,-0.3858364620630407,0.24762092489434787,-1.8013228623690631,-1.7710590109164808,-0.9981991492841346,-0.3865325494814797,0.2727272727272727,0.2870942039062773,154,1836
logit,quintile_short,IS,-0.3975115725949102,0.2529944163415238,-1.8301377136108503,-1.7936901139131602,-0.9929794028026052,-0.4003220726159732,0.24369747899159663,0.29273144334598983,119,1313
logit,quintile_short,OOS,-0.344422382883943,0.2311145283376361,-1.6803327416092617,-1.6943279258010615,-0.7278180990693298,-0.4732259108757535,0.37142857142857144,0.26792758981125475,35,523
logit,long_short_quintile,ALL,-0.28643839863536036,0.16547961668186856,-1.9268742865819661,-1.8414013505050775,-0.9873336179013632,-0.2901130817810117,0.2792207792207792,0.552191222764394,154,1836
logit,long_short_quintile,IS,-0.2893532682279333,0.1567113774500026,-2.069305062137572,-1.9187752327019278,-0.9642454354646449,-0.30008259057871656,0.2857142857142857,0.5702871654048557,119,1313
logit,long_short_quintile,OOS,-0.27643811755456693,0.194822240984653,-1.5419833000146301,-1.6099493497831436,-0.6248163853775588,-0.44243096695923434,0.2571428571428571,0.49066501778682386,35,523
