model,strategy,period,CAGR,vol,Sharpe,Sortino,MaxDD,Calmar,hit_rate,avg_turnover,n_rebalances
ew,decile_short,ALL,-0.08056778625644168,0.3220944753327926,-0.08878017309087904,-0.1168541989310621,-0.8829744062397875,-0.09124589080621896,0.4973821989528796,0.32056576702846756,191
ew,decile_short,IS,-0.09448772502618485,0.33316530119173754,-0.11819249691019522,-0.15296027371707807,-0.8829744062397875,-0.10701071781748227,0.5064102564102564,0.3274354740596709,156
ew,decile_short,OOS,-0.01587570336522448,0.27107689112154926,0.07179317067440211,0.10982227933806618,-0.41643946218703853,-0.03812247591006183,0.45714285714285713,0.28994650140367606,35
ew,long_short_decile,ALL,0.12496592091660941,0.2599639895126294,0.5907513590216841,0.8426106943003725,-0.6701532964791531,0.1864736345745884,0.6544502617801047,0.715787144652612,191
ew,long_short_decile,IS,0.09634590631215434,0.2612237839806404,0.4915644464052136,0.668256664532701,-0.6701532964791531,0.14376696618271642,0.6602564102564102,0.7301657217978812,156
ew,long_short_decile,OOS,0.2618934060756066,0.2554490908956243,1.0402912213629965,2.0559535754375933,-0.20167478912565473,1.2985926858335888,0.6285714285714286,0.6516997722336988,35
gbm_cls,decile_short,ALL,-0.18866022147320083,0.2211907397197096,-0.8219324029743509,-0.9430112912235482,-0.9398533033094613,-0.20073368983104115,0.3961038961038961,0.5987984674560808,154
gbm_cls,decile_short,IS,-0.1881158882395748,0.2250499676312084,-0.8009317580301004,-0.9260031524378378,-0.9016924842220999,-0.20862532574158524,0.3865546218487395,0.5913248080695752,119
gbm_cls,decile_short,OOS,-0.19050822609098084,0.21067598211411592,-0.8880367487348613,-1.0041306212816012,-0.5268536064949976,-0.36159613171935207,0.42857142857142855,0.6242089093701996,35
gbm_cls,long_short_decile,ALL,-0.08633021284011988,0.18734824183077742,-0.3841138842153081,-0.47709854736761237,-0.7369644314282455,-0.11714298432668037,0.4675324675324675,1.1736485360375235,154
gbm_cls,long_short_decile,IS,-0.06126085436974116,0.18250563521786656,-0.2520839758080492,-0.31923535303509964,-0.6732240816963274,-0.09099623147077829,0.48739495798319327,1.170455300974793,119
gbm_cls,long_short_decile,OOS,-0.16666426545317292,0.20367399979019332,-0.7866224021860818,-0.9329710987992778,-0.4943349930780532,-0.33714842725458727,0.4,1.184505535250808,35
gbm_rank,decile_short,ALL,-0.13913988250688714,0.29574662851474187,-0.3456726047797344,-0.4210160437011801,-0.8864515160886635,-0.15696276669571432,0.4935064935064935,0.4825535176736599,154
gbm_rank,decile_short,IS,-0.12929374251322256,0.2983961431875325,-0.30132703355525775,-0.3673489636188404,-0.8494682305405916,-0.15220550676855985,0.5042016806722689,0.5000299521209142,119
gbm_rank,decile_short,OOS,-0.17179142234216904,0.29048330743957584,-0.49609814128112933,-0.6104080009615646,-0.5720373714426066,-0.3003150334547769,0.45714285714285713,0.42313364055299546,35
gbm_rank,long_short_decile,ALL,-0.03782419494970446,0.2532236338469657,-0.01874845434985698,-0.023777876779936195,-0.7208933506689902,-0.05246850302420399,0.5454545454545454,0.8585888359462808,154
gbm_rank,long_short_decile,IS,-0.02215996608400672,0.2440948418085989,0.036871119601319745,0.0468170540305993,-0.7208933506689902,-0.030739590070351236,0.5546218487394958,0.8908126051799113,119
gbm_rank,long_short_decile,OOS,-0.08922954596832511,0.28552021434327846,-0.18033538582859768,-0.23082883499932325,-0.5517531143638756,-0.16172005856496013,0.5142857142857142,0.749028020551936,35
logit,decile_short,ALL,-0.12604570732050346,0.27466818669788995,-0.3465324813728194,-0.4479659992377683,-0.8627010888547653,-0.14610588644072423,0.45454545454545453,0.35291436361532313,154
logit,decile_short,IS,-0.14908350848054852,0.28232688661500005,-0.4222542288412554,-0.5363761554295452,-0.8611442954818065,-0.17312256408449753,0.4369747899159664,0.3525156989099655,119
logit,decile_short,OOS,-0.042949688675364195,0.24922938583708137,-0.05405349113044802,-0.07690545187125243,-0.4644300937684035,-0.09247826368629299,0.5142857142857142,0.35426982361353887,35
logit,long_short_decile,ALL,-0.011107266179884223,0.20220176881186908,0.047508812252249726,0.06453344995842612,-0.5501681048745031,-0.020188858789656414,0.5324675324675324,0.6653906956917824,154
logit,long_short_decile,IS,-0.009568975733870388,0.1931851802734065,0.04939126695996638,0.06460854994646244,-0.5501681048745031,-0.017392821665031154,0.5546218487394958,0.6831993243885471,119
logit,long_short_decile,OOS,-0.016319604675956056,0.23336850071796364,0.04210663840749077,0.06431515440101834,-0.46644593110098875,-0.034987130528581566,0.45714285714285713,0.604841358122782,35
naive,decile_short,ALL,-0.09720582653783227,0.23899613865590552,-0.3029238474384998,-0.39076843459381433,-0.856374317347747,-0.11350857279196055,0.49214659685863876,0.14646514231173452,191
naive,decile_short,IS,-0.10815789371676099,0.24253991727423993,-0.344184401542679,-0.43907259892805645,-0.843776389382833,-0.12818312419937633,0.48717948717948717,0.1476810638687261,156
naive,decile_short,OOS,-0.046731904427335436,0.2253075570545876,-0.1021217564108514,-0.14214262852938242,-0.3712084621046353,-0.12589126918707677,0.5142857142857142,0.14104560622914353,35
naive,long_short_decile,ALL,0.045568645367920935,0.19778531509480934,0.3251796252438645,0.47600968848741193,-0.5404882987106963,0.08431014228545246,0.5706806282722513,0.48924895026215154,191
