bin,bin_lower,bin_upper,mean_prob,observed_rate,count
0,0.0,0.1,0.06931699435712806,0.4592356687898089,1570
1,0.1,0.2,0.15241570002754373,0.4857646762408667,3969
2,0.2,0.30000000000000004,0.2514912410377126,0.4688470296004968,4831
3,0.30000000000000004,0.4,0.35086989304838534,0.47253753203954596,5462
4,0.4,0.5,0.4502988860172904,0.48217922606924646,5892
5,0.5,0.6000000000000001,0.5496522868469256,0.47632221318144835,6145
6,0.6000000000000001,0.7000000000000001,0.6488619049302089,0.4822623828647925,5976
7,0.7000000000000001,0.8,0.7477368053135774,0.48298658370600817,5143
8,0.8,0.9,0.8432938651596641,0.4984690753214942,3266
9,0.9,1.0,0.9230743825729717,0.5289982425307557,569
