Ticker,Company,mktCap,ShortPct,score_naive,score_ew,score_logit,score_gbm_cls,score_gbm_rank,consensus_rk,SI,SI z,mom,vol,P/E,FCF-y,ROE,D/E,growth
TLX,TELIX PHARMACEUTICAL ORDINARY,3794313599.0,15.15,0.993103448275862,0.903448275862069,0.5631360978709886,0.4974636565462394,-0.3150173384618554,0.9213235294117647,0.993103448275862,0.7034482758620689,0.08620689655172409,0.4206896551724138,0.5,0.7862068965517242,0.7241379310344828,0.8068965517241379,0.4172413793103448
VUL,VULCAN ENERGY ORDINARY,629924647.0,4.65,0.8310344827586207,0.993103448275862,0.5754518577329115,0.5233752709274068,-0.31278533340562276,0.9176470588235294,0.8310344827586207,0.4241379310344828,0.19999999999999996,0.8448275862068966,0.5,0.9241379310344827,0.8172413793103448,0.21724137931034482,0.9206896551724137
EOS,ELECTRO OPTIC SYS. ORDINARY,1821467814.0,3.59,0.7482758620689656,0.9862068965517241,0.5798380792972283,0.6092678353384701,-0.07436982406307167,0.9169117647058824,0.7482758620689656,0.6793103448275862,0.17586206896551726,0.9517241379310345,0.5,0.7448275862068965,0.8793103448275862,0.2896551724137931,0.06551724137931036
CAT,CATAPULT SPORTS LTD ORDINARY,982562636.0,5.15,0.8482758620689655,0.9724137931034482,0.5750687018934321,0.5149801093630673,-0.37585790390754575,0.911764705882353,0.8482758620689655,0.6068965517241379,0.7379310344827585,0.9655172413793104,0.5,0.5689655172413793,0.8413793103448276,0.17586206896551723,0.6396551724137931
ILU,ILUKA RESOURCES ORDINARY,2487580448.0,7.53,0.9,0.9482758620689655,0.5847059227717798,0.5706423352007914,-1.048914970730424,0.9036764705882353,0.9,0.41379310344827586,0.07241379310344831,0.27241379310344827,0.5,0.9655172413793104,0.9137931034482758,0.6,0.9344827586206896
4DX,4DMEDICAL LIMITED ORDINARY,1947825404.0,10.06,0.9689655172413794,0.8172413793103448,0.5181076431466024,0.5139682986125167,0.26880339096768263,0.8661764705882353,0.9689655172413794,0.9896551724137931,0.6137931034482759,0.9862068965517241,0.5,0.7137931034482758,0.0,0.013793103448275862,0.06206896551724139
PWH,PWR HOLDINGS LIMITED ORDINARY,789506857.0,7.8,0.9103448275862069,0.8413793103448276,0.5906357026698736,0.5871630228212704,-1.6966559603781748,0.8522058823529411,0.9103448275862069,0.1103448275862069,0.4896551724137931,0.5689655172413793,0.91,0.6827586206896552,0.3793103448275862,0.7862068965517242,0.19655172413793098
NEU,NEUREN PHARMACEUT. ORDINARY,2356761578.0,6.4,0.8862068965517241,0.7620689655172413,0.5781269025219337,0.45603635553227767,-0.8599200713844166,0.8507352941176471,0.8862068965517241,0.8620689655172413,0.12068965517241381,0.30344827586206896,0.92,0.6655172413793103,0.44482758620689655,0.022413793103448276,0.13793103448275867
LOT,LOTUS RESOURCES LTD ORDINARY,450131140.0,19.54,1.0,0.996551724137931,0.6005479810907013,0.36631964065332223,-1.0763460000293261,0.8455882352941175,1.0,0.9793103448275862,0.9896551724137931,0.7103448275862069,0.5,0.9586206896551724,0.8689655172413793,0.15517241379310345,0.9810344827586207
AD8,AUDINATEGROUPLTD ORDINARY,338713814.0,1.86,0.5689655172413793,0.7879310344827586,0.6244469266663254,0.5111862462323737,-0.09796754980540041,0.8452205882352942,0.5689655172413793,0.020689655172413793,0.8517241379310345,0.5586206896551724,0.5,0.6793103448275862,0.8344827586206897,0.16206896551724137,0.7862068965517242
