feature,gain,split
asset_growth_yoy_rk,2863.477194786072,268.0
balance_sheet_additionalPaidInCapital_rk,2687.2778282165527,144.0
cash_flow_netPreferredStockIssuance_rk,1571.8964500427246,79.0
mom_1w_rk,1305.9454193115234,273.0
mom_4w_rk,1170.9483110904694,253.0
si_build_rate_4w_rk,1094.002748131752,221.0
mom_12w_skip1_rk,1061.96453166008,225.0
balance_sheet_otherTotalStockholdersEquity_rk,992.0560419559479,103.0
cash_flow_preferredDividendsPaid_rk,911.3188719749451,83.0
vol_4w_rk,869.9232506752014,174.0
mom_52w_rk,844.648709654808,139.0
vol_12w_rk,815.5110701322556,162.0
si_persistence_rk,813.0916817188263,165.0
mom_26w_rk,787.868271112442,150.0
balance_sheet_otherLiabilities_rk,695.504708647728,73.0
cash_flow_shortTermNetDebtIssuance_rk,675.297905921936,86.0
drawdown_52w_rk,649.2840905189514,117.0
mom_12w_rk,640.7712372541428,123.0
si_z_52w_rk,546.9708099365234,109.0
cash_flow_interestPaid_rk,540.5457887649536,80.0
balance_sheet_shortTermInvestments_rk,527.5833585262299,72.0
si_percentile_52w_rk,518.8585793972015,110.0
turnover_pct_rk,466.5882909297943,102.0
balance_sheet_goodwill_rk,465.0630896091461,75.0
cash_flow_accountsPayables_rk,449.5675263404846,61.0
cash_flow_incomeTaxesPaid_rk,445.7206003665924,75.0
days_to_cover_rk,442.04623913764954,85.0
key_metrics_salesGeneralAndAdministrativeToRevenue_rk,433.0660169124603,76.0
balance_sheet_preferredStock_rk,404.5656371116638,58.0
financial_growth_growthCapitalExpenditure_rk,397.19688057899475,66.0
cash_flow_commonStockRepurchased_rk,393.4536802768707,58.0
financial_growth_threeYDividendperShareGrowthPerShare_rk,391.6586608886719,73.0
financial_growth_revenueGrowth_rk,387.57147109508514,59.0
cash_flow_changeInWorkingCapital_rk,378.65813970565796,69.0
financial_growth_rdexpenseGrowth_rk,370.72535037994385,66.0
balance_sheet_minorityInterest_rk,369.8282494544983,55.0
ratios_enterpriseValueMultiple_rk,369.6530487537384,54.0
balance_sheet_otherAssets_rk,362.2025099992752,57.0
financial_growth_sgaexpensesGrowth_rk,361.4881910085678,73.0
financial_growth_fiveYOperatingCFGrowthPerShare_rk,359.61270022392273,60.0
financial_growth_weightedAverageSharesGrowth_rk,354.21021032333374,66.0
financial_growth_threeYShareholdersEquityGrowthPerShare_rk,336.2444998025894,60.0
cash_flow_inventory_rk,335.00770699977875,60.0
cash_flow_effectOfForexChangesOnCash_rk,334.05365002155304,54.0
balance_sheet_taxAssets_rk,325.0593512058258,60.0
balance_sheet_taxPayables_rk,323.8208396434784,60.0
income_statement_otherAdjustmentsToNetIncome_rk,323.0479419231415,50.0
income_statement_otherExpenses_rk,321.7465510368347,63.0
financial_growth_grossProfitGrowth_rk,319.1231791973114,61.0
financial_growth_threeYOperatingCFGrowthPerShare_rk,316.48072957992554,55.0
income_statement_sellingAndMarketingExpenses_rk,308.85410165786743,51.0
netPreferredStockIssuance_rk,308.1122100353241,9.0
financial_growth_inventoryGrowth_rk,306.8518605232239,53.0
ratios_debtServiceCoverageRatio_rk,297.8463599681854,60.0
income_statement_netIncomeDeductions_rk,293.25994896888733,52.0
balance_sheet_otherNonCurrentLiabilities_rk,292.4514112472534,49.0
cash_flow_stockBasedCompensation_rk,290.3874896764755,48.0
key_metrics_capexToDepreciation_rk,290.2063100337982,46.0
key_metrics_operatingCycle_rk,287.7443194389343,46.0
cash_flow_commonStockIssuance_rk,287.2849495410919,57.0
financial_growth_operatingCashFlowGrowth_rk,284.8831709623337,58.0
balance_sheet_otherNonCurrentAssets_rk,280.5489089488983,40.0
income_statement_nonOperatingIncomeExcludingInterest_rk,276.76756846904755,49.0
financial_growth_fiveYRevenueGrowthPerShare_rk,274.7653706073761,49.0
financial_growth_threeYBottomLineNetIncomeGrowthPerShare_rk,272.6917405128479,45.0
ratios_inventoryTurnover_rk,270.9725019931793,51.0
balance_sheet_deferredRevenueNonCurrent_rk,269.7833306789398,51.0
financial_growth_receivablesGrowth_rk,269.2628401517868,53.0
ratios_effectiveTaxRate_rk,268.4019401073456,54.0
ratios_netIncomePerEBT_rk,268.21645998954773,51.0
additionalPaidInCapital_rk,267.4202399253845,11.0
balance_sheet_accruedExpenses_rk,265.9163098335266,50.0
financial_growth_threeYRevenueGrowthPerShare_rk,265.7350277900696,49.0
financial_growth_threeYNetIncomeGrowthPerShare_rk,261.35495805740356,47.0
cash_flow_otherInvestingActivities_rk,255.74429202079773,47.0
balance_sheet_accountsReceivables_rk,254.49042797088623,31.0
financial_growth_fiveYDividendperShareGrowthPerShare_rk,253.39715826511383,48.0
balance_sheet_otherReceivables_rk,251.43286907672882,49.0
financial_growth_assetGrowth_rk,250.8720200061798,55.0
cash_flow_netChangeInCash_rk,250.2429599761963,52.0
cash_flow_netStockIssuance_rk,248.5043489933014,40.0
cash_flow_otherNonCashItems_rk,248.40932965278625,48.0
financial_growth_dividendsPerShareGrowth_rk,246.71862041950226,49.0
cash_flow_deferredIncomeTax_rk,244.71768248081207,46.0
ShortPct_rk,243.80051946640015,44.0
financial_growth_tenYOperatingCFGrowthPerShare_rk,241.90191006660461,46.0
cash_flow_purchasesOfInvestments_rk,241.16002988815308,42.0
balance_sheet_prepaids_rk,240.81205105781555,40.0
financial_growth_operatingIncomeGrowth_rk,239.61735999584198,45.0
ratios_workingCapitalTurnoverRatio_rk,238.49242961406708,44.0
financial_growth_tenYRevenueGrowthPerShare_rk,236.85678005218506,44.0
ratios_ebtPerEbit_rk,236.74955010414124,42.0
key_metrics_evToOperatingCashFlow_rk,236.5491292476654,39.0
cash_flow_longTermNetDebtIssuance_rk,236.0045601129532,44.0
income_statement_netIncomeFromDiscontinuedOperations_rk,235.7974293231964,42.0
balance_sheet_otherCurrentLiabilities_rk,235.5886276960373,43.0
financial_growth_debtGrowth_rk,234.7997498512268,43.0
balance_sheet_shortTermDebt_rk,232.38531935214996,48.0
cash_flow_acquisitionsNet_rk,232.22270965576172,45.0
balance_sheet_intangibleAssets_rk,231.91523909568787,35.0
cash_flow_accountsReceivables_rk,231.56638026237488,46.0
key_metrics_stockBasedCompensationToRevenue_rk,229.50433945655823,42.0
financial_growth_freeCashFlowGrowth_rk,227.3235204219818,44.0
ratios_fixedAssetTurnover_rk,220.5974416732788,30.0
ratios_operatingCashFlowCoverageRatio_rk,220.14023971557617,40.0
financial_growth_tenYShareholdersEquityGrowthPerShare_rk,218.70965027809143,35.0
ratios_payablesTurnover_rk,218.6594500541687,37.0
key_metrics_earningsYield_rk,218.07893896102905,34.0
ratios_ebitdaMargin_rk,215.73772168159485,39.0
