strategy,period,n_months,Sharpe,CAGR,ann_vol,MaxDD,hit_rate
naive/quintile_short,ALL,191,-1.3006730793968513,-0.29238795722231736,0.23913650935529598,-0.9960455638535666,0.34554973821989526
naive/quintile_short,IS,156,-1.2622658433841667,-0.29361502998848477,0.24630150777706367,-0.9888801801984506,0.3333333333333333
naive/quintile_short,OOS,35,-1.5027720716452926,-0.28689274331156045,0.2073929807210816,-0.6617049979362835,0.4
naive/long_short_quintile,ALL,191,-0.9737182363877375,-0.15865332137655674,0.16237728774376306,-0.9534630421706092,0.41361256544502617
naive/long_short_quintile,IS,156,-0.970643985607354,-0.16298935937793124,0.16732955396552543,-0.9252036411140097,0.41025641025641024
naive/long_short_quintile,OOS,35,-0.990709057936108,-0.1390521657127236,0.14021240208495153,-0.3738124171298599,0.42857142857142855
ew/quintile_short,ALL,191,-1.7218023237720077,-0.41355750755647447,0.2791762978682488,-0.9998040735028028,0.2879581151832461
ew/quintile_short,IS,156,-1.7383300056016653,-0.42636285786568373,0.28720208433382466,-0.9992331720349752,0.28205128205128205
ew/quintile_short,OOS,35,-1.6412061534592228,-0.3529151041431816,0.242466100429957,-0.7457407172549442,0.3142857142857143
ew/long_short_quintile,ALL,191,-1.4656867240394515,-0.2814675622113503,0.20728682893781294,-0.9950079041388049,0.3403141361256545
ew/long_short_quintile,IS,156,-1.588479529293599,-0.2978492618458256,0.20550753174855887,-0.9892855639692643,0.33974358974358976
ew/long_short_quintile,OOS,35,-0.9411138430953003,-0.20367707135839686,0.2156657115210461,-0.5616027487959092,0.34285714285714286
logit/quintile_short,ALL,154,-1.8013228623690631,-0.3858364620630407,0.24762092489434787,-0.9981991492841346,0.2727272727272727
logit/quintile_short,IS,119,-1.8301377136108503,-0.3975115725949102,0.2529944163415238,-0.9929794028026052,0.24369747899159663
logit/quintile_short,OOS,35,-1.6803327416092617,-0.344422382883943,0.2311145283376361,-0.7278180990693298,0.37142857142857144
logit/long_short_quintile,ALL,154,-1.9268742865819661,-0.28643839863536036,0.16547961668186856,-0.9873336179013632,0.2792207792207792
logit/long_short_quintile,IS,119,-2.069305062137572,-0.2893532682279333,0.1567113774500026,-0.9642454354646449,0.2857142857142857
logit/long_short_quintile,OOS,35,-1.5419833000146301,-0.27643811755456693,0.194822240984653,-0.6248163853775588,0.2571428571428571
ASX 200 (buy & hold),ALL,190,0.38750626487234074,0.044454171015136934,0.13791164650268428,-0.3099242194089774,0.6157894736842106
ASX 200 (buy & hold),IS,155,0.33503128749445166,0.03811986441420023,0.14411606505342298,-0.3099242194089774,0.6129032258064516
ASX 200 (buy & hold),OOS,35,0.7083363991265809,0.07297394205362373,0.10769634957127015,-0.07789456314571408,0.6285714285714286
