model,period,ic_mean,ic_t,ic_hit_rate,ic_n_periods,decile_spread_mean
ew,ALL,0.04163829267458823,4.92533766686141,0.6596858638743456,191,-0.005889664419102282
ew,IS,0.0402038647110677,4.255331747027164,0.6730769230769231,156,-0.005795109908638449
ew,OOS,0.04803174302627978,2.5166491642035385,0.6,35,-0.006311107380026785
gbm_cls,ALL,-0.03119186535845492,-3.6045685626146766,0.38961038961038963,154,-0.006346030042817696
gbm_cls,IS,-0.03259305526719574,-3.3665135040081116,0.37815126050420167,119,-0.00781640303123178
gbm_cls,OOS,-0.026427819668736127,-1.3633573470764362,0.42857142857142855,35,-0.001346761882209819
gbm_rank,ALL,-0.0705468801335195,-5.55483854902588,0.3181818181818182,154,-0.007216448656933673
gbm_rank,IS,-0.06980978779474886,-4.99296605812712,0.31092436974789917,119,-0.00609639075053422
gbm_rank,OOS,-0.07305299408533966,-2.4534210275329467,0.34285714285714286,35,-0.011024645538691816
logit,ALL,-0.05569091840050682,-5.8630905433272,0.2792207792207792,154,-0.008767232459695183
logit,IS,-0.04702989326745708,-4.528807427887406,0.2857142857142857,119,-0.006925183386636093
logit,OOS,-0.08513840385287597,-3.8824237034719826,0.2571428571428571,35,-0.015030199308096091
naive,ALL,-0.018546825067681866,-2.36878297215208,0.42408376963350786,191,-0.014905411287092503
naive,IS,-0.01673647003784883,-1.8590200131769317,0.4423076923076923,156,-0.013177591535853392
naive,OOS,-0.026615836057794804,-1.7933698651239591,0.34285714285714286,35,-0.022606550749758272
