model,mom_cutoff,n_kept,n_dropped,win_rate_%,mean_trade_%,median_trade_%,worst_position_%,n_loss_>25%,n_loss_>50%,short_Sharpe_OOS,short_MaxDD_%
naive,1.0,2084,5,50.9,-0.0,0.44,-177.4,103,11,-0.43,-38.2
naive,0.9,1906,183,50.6,0.05,0.32,-177.4,92,8,-0.4,-37.5
naive,0.8,1711,378,50.7,0.02,0.36,-177.4,86,8,-0.4,-38.5
naive,0.7,1545,544,51.6,0.38,0.68,-177.4,72,7,-0.14,-34.5
naive,0.6,1379,710,51.1,0.27,0.52,-177.4,68,7,-0.17,-37.5
naive,0.5,1193,896,50.2,-0.05,0.24,-177.4,64,5,-0.28,-42.5
ew,1.0,2087,2,47.4,-0.56,-0.5,-49.7,37,0,-1.16,-40.9
ew,0.9,1825,264,47.6,-0.5,-0.45,-49.7,31,0,-1.17,-38.5
ew,0.8,1524,565,48.7,-0.34,-0.25,-49.7,25,0,-1.01,-36.6
ew,0.7,1222,867,50.4,0.0,0.11,-45.7,17,0,-0.63,-32.4
ew,0.6,967,1122,51.0,0.22,0.27,-45.7,13,0,-0.37,-30.8
ew,0.5,728,1361,50.3,0.18,0.05,-45.7,12,0,-0.36,-30.0
logit,1.0,2071,18,53.5,-0.18,1.72,-218.2,157,40,-0.45,-48.2
logit,0.9,1783,306,52.6,-0.31,1.23,-218.2,135,33,-0.5,-47.8
logit,0.8,1593,496,53.2,-0.04,1.55,-218.2,117,28,-0.36,-44.7
logit,0.7,1446,643,53.5,0.07,1.56,-218.2,104,26,-0.27,-45.7
logit,0.6,1315,774,53.2,-0.05,1.55,-218.2,99,25,-0.3,-49.5
logit,0.5,1183,906,52.9,-0.06,1.55,-218.2,93,23,-0.24,-49.3
gbm_cls,1.0,2066,23,50.9,-1.14,0.42,-217.5,132,39,-1.18,-57.0
gbm_cls,0.9,1628,461,50.1,-1.3,0.08,-177.4,102,26,-1.38,-57.6
gbm_cls,0.8,1312,777,50.9,-1.13,0.36,-177.4,85,21,-1.17,-54.3
gbm_cls,0.7,1053,1036,50.9,-1.29,0.37,-177.4,72,20,-1.1,-58.7
gbm_cls,0.6,860,1229,51.2,-1.49,0.6,-177.4,66,19,-1.0,-64.9
gbm_cls,0.5,690,1399,50.6,-2.06,0.33,-177.4,61,18,-1.08,-70.3
gbm_rank,1.0,2057,32,52.6,-0.71,1.92,-217.5,209,68,-0.58,-60.0
gbm_rank,0.9,1625,464,52.2,-0.71,1.8,-177.4,162,50,-0.59,-60.4
gbm_rank,0.8,1421,668,52.4,-0.69,1.85,-177.4,139,46,-0.55,-58.0
gbm_rank,0.7,1274,815,52.7,-0.49,1.96,-177.4,122,43,-0.47,-59.2
gbm_rank,0.6,1146,943,52.9,-0.51,2.13,-177.4,115,41,-0.46,-61.5
gbm_rank,0.5,1030,1059,52.4,-0.8,1.89,-177.4,108,38,-0.53,-63.1
