Ticker,Company,n_months_shorted,total_pnl_book,avg_trade_return,best_month,worst_month,hit_rate,n_stops_triggered,avg_weight,avg_mktCap_AUDm,avg_short_pct,first_date,last_date
CCX,CITY CHIC COLLECTIVE ORDINARY,17,0.03820471601712562,0.139616079569539,0.6065573950699339,-0.3043478542555027,0.7058823529411765,0,-0.016673347308050562,55.45723729411765,0.5852941176470587,2024-01-25,2026-03-27
LOT,LOTUS RESOURCES LTD ORDINARY,16,0.031857727299827186,0.12147064974266969,0.575757583055359,-0.28947377035478206,0.625,0,-0.01678100658800329,487.05225025,7.216875,2024-07-26,2026-04-24
NMT,NEOMETALS LTD ORDINARY,16,0.029793386224203,0.11824716905732009,0.380298033924797,-0.5000000931322595,0.8125,0,-0.016583020746503658,157.121179375,1.6125,2023-06-30,2025-06-27
CXL,CALIX LIMITED ORDINARY,30,0.029260812633917728,0.06467012746420162,0.4897959282973168,-0.7076923923379601,0.6666666666666666,0,-0.016749306805384594,398.5785308,2.5050000000000003,2023-06-30,2026-04-24
GLL,GALILEE ENERGY LTD ORDINARY,10,0.02788312455134892,0.17476567904600762,0.4468084802828304,-0.05263158926673239,0.7,0,-0.016558303232379366,13.384623600999998,0.088,2024-01-25,2025-02-28
SGR,THE STAR ENT GRP ORDINARY,21,0.02751985201208525,0.08502788159786352,0.4111111273000274,-0.26923086622057935,0.7142857142857143,0,-0.01668870664107292,1111.416078904762,4.358095238095238,2023-06-30,2026-03-27
WBT,WEEBIT NANO LTD ORDINARY,18,0.023791667279152037,0.08644329992638043,0.3667205104915344,-0.33724335132053485,0.7222222222222222,0,-0.016642103388005782,737.5918677222222,5.049444444444444,2023-07-28,2026-03-27
ERA,ENERGY RESOURCES ORDINARY 'A',7,0.023712659212658607,0.21063945038050477,0.8437500109139359,-1.0,0.8571428571428571,0,-0.016510538641686185,809.819529,0.0,2024-03-28,2024-09-27
CHN,CHALICE MINING LTD ORDINARY,16,0.021981600346818984,0.08940212427626057,0.5294117618611313,-0.497835551451866,0.6875,0,-0.016514135871075298,1316.3330325,5.760625,2023-06-30,2025-06-27
BAP,BAPCOR LIMITED ORDINARY,6,0.02161875484862108,0.21310108770895472,0.6214953445432396,-0.033333416590618725,0.8333333333333334,0,-0.01729350162860883,1034.1114850000001,7.265000000000001,2025-11-28,2026-04-24
MVP,MEDICAL DEVELOPMENTS ORDINARY,21,0.019187853417936405,0.06128442682118672,0.34782607287224865,-0.3483870828809148,0.6190476190476191,0,-0.016631649641776974,57.77073128571429,0.3180952380952381,2023-06-30,2025-09-26
AMS,ATOMOS ORDINARY,6,0.017530054865291883,0.18026427020639524,0.44444447127266606,-0.228571465064068,0.6666666666666666,0,-0.016622672964712423,24.273246,0.15666666666666668,2024-07-26,2024-12-27
HLS,HEALIUS ORDINARY,15,0.017020451861498972,0.0722578844103418,0.3584905246603547,-0.19463084563549193,0.7333333333333333,0,-0.017051793027358937,728.0784726666666,5.097333333333333,2024-01-25,2026-04-24
BUB,BUBS AUST LTD ORDINARY,14,0.016615405440893922,0.0774351263588678,0.27272731788230486,-0.12500006984919465,0.7857142857142857,0,-0.016611460673029498,116.78399985714286,1.1214285714285714,2023-06-30,2026-02-27
PEN,PENINSULA ENERGY LTD ORDINARY,17,0.016343171564721787,0.06235985333860954,0.30054648012432683,-0.55384619616898,0.7058823529411765,0,-0.016774280710277607,220.892072,1.1641176470588235,2024-01-25,2026-04-24
LIC,LIFESTYLE COMMUNIT. ORDINARY,24,0.016199750396454018,0.04718590445536904,0.3665223700967911,-0.20594475208821272,0.5416666666666666,0,-0.016730228650146537,1307.0664614999998,8.1775,2024-01-25,2025-12-24
AQZ,ALLIANCE AVIATION ORDINARY,24,0.016115659320774828,0.045494624924800386,0.41409689247111936,-0.061151098193194864,0.625,0,-0.01669774184993804,441.75995937500005,0.050416666666666665,2023-07-28,2026-04-24
BOT,BOTANIX PHARMA LTD ORDINARY,12,0.016065270106276643,0.08574634684397543,0.5396825494439454,-0.13793111244365175,0.75,0,-0.01683778433558066,670.077303,2.8049999999999997,2024-08-30,2025-12-24
AD8,AUDINATEGROUPLTD ORDINARY,10,0.015133016136532573,0.09312677247485539,0.34331801741224655,-0.11016949238156637,0.7,0,-0.017243430024506033,509.209256,4.2090000000000005,2025-07-25,2026-04-24
GLN,GALAN LITHIUM LTD ORDINARY,13,0.015081041694379002,0.0756545369319351,0.46376810717848105,-0.41666671323279636,0.8461538461538461,0,-0.016541988159104026,171.2086752953846,1.1007692307692307,2023-06-30,2025-04-24
SYR,SYRAH RESOURCES ORDINARY,28,0.01496913997080203,0.03748775855996613,0.3875968644813971,-0.49019608759779243,0.6428571428571429,0,-0.016631307455866003,258.65768217857146,10.521071428571428,2023-06-30,2025-12-24
PAR,PARADIGM BIO. ORDINARY,13,0.014272367818927998,0.07281493016563577,0.38775508962835414,-0.4166666501098215,0.7692307692307693,0,-0.016781874521093268,122.33136515384616,0.4807692307692308,2024-03-28,2025-12-24
DEV,DEVEX RESOURCES LTD ORDINARY,21,0.012682817729071795,0.043223630247928156,0.2820512526604305,-0.43859649673173084,0.6190476190476191,0,-0.016713845899332492,88.15230157142858,0.22095238095238093,2024-01-25,2026-04-24
IPD,IMPEDIMED LIMITED ORDINARY,12,0.012290349543871027,0.06519787518031205,0.5,-0.42424238319239316,0.6666666666666666,0,-0.016841034101191314,114.11390175000001,0.505,2023-06-30,2026-04-24
NUH,NUHEARA LIMITED ORDINARY,11,0.01198765260095022,0.07208936406910803,0.295652184617091,-0.0519480607444871,0.5454545454545454,0,-0.016568996438404607,31.470713,0.017272727272727273,2023-06-30,2024-05-31
PNR,PANTORO LIMITED ORDINARY,2,0.010900441601943579,0.33410085833265873,0.38750000328702083,0.28070171337829664,1.0,0,-0.01667129758266185,4080.33758,0.15,2023-07-28,2023-12-29
GEM,G8 EDUCATION LIMITED ORDINARY,2,0.01035278007208125,0.3045212410036085,0.3749999611948919,0.23404252081232513,1.0,0,-0.017392619479733817,522.693051,3.255,2026-03-27,2026-04-24
LVT,LIVETILES LIMITED ORDINARY,5,0.010306877672694545,0.13181818650045085,0.5,-0.09090910630285265,0.6,0,-0.016559229415578403,10.263946,0.12,2023-06-30,2023-12-29
PDI,PREDICTIVE DISC LTD ORDINARY,10,0.009806329801931055,0.06415671572016454,0.22513086652485126,-0.07647058328542755,0.7,0,-0.016815609868103782,896.4807571000001,0.751,2024-01-25,2026-04-24
AGY,ARGOSY MINERALS LTD ORDINARY,14,0.008840781530368439,0.04741236690012768,0.5978260825551863,-0.5882352490016771,0.7142857142857143,0,-0.01667202757927193,325.3300648571429,3.39,2023-07-28,2025-09-26
MYX,MAYNE PHARMA LTD ORDINARY,9,0.00866979919093568,0.06224851730337934,0.24470587337718286,-0.21929824836586542,0.7777777777777778,0,-0.017181912335032606,338.85545988888884,1.788888888888889,2023-06-30,2026-04-24
CXO,CORE LITHIUM ORDINARY,12,0.008653156490665925,0.048651980104916635,0.29999998853756793,-0.2234043194029136,0.6666666666666666,0,-0.01666975394399679,357.4545278333333,6.283333333333334,2024-01-25,2025-12-24
NVX,NOVONIX LIMITED ORDINARY,6,0.007938939944409196,0.08650336805038189,0.24311930016931005,0.023809501846360326,1.0,0,-0.016577135624093114,398.01734733333336,4.896666666666667,2023-08-25,2025-05-30
EXR,ELIXIR ENERGY LTD ORDINARY,13,0.007531326562675071,0.041572417187165124,0.343750040017765,-0.4153846700515993,0.46153846153846156,0,-0.016543449907123725,64.65027784615384,0.05846153846153846,2023-06-30,2025-09-26
IMM,IMMUTEP LTD ORDINARY,7,0.007516399291626052,0.0691164116940481,0.8857142835026105,-0.4098360559627019,0.42857142857142855,0,-0.017286055583142543,498.81328171428567,1.8914285714285715,2025-07-25,2026-04-24
NAN,NANOSONICS LIMITED ORDINARY,4,0.007499765778487509,0.11645464303701697,0.14594593375507647,0.08588956202726294,1.0,0,-0.01702964307320024,1037.8799445,7.8175,2024-09-27,2026-04-24
HFR,HIGHFIELD RES LTD ORDINARY,2,0.006766358607086187,0.20927921975104713,0.30588240326481975,0.11267603623727451,1.0,0,-0.016666666666666666,129.420631,1.02,2024-03-28,2024-05-31
S2R,S2 RESOURCES ORDINARY,5,0.006721692563867716,0.08772966503625376,0.343999981880188,-0.05970150083602177,0.8,0,-0.01666851903306474,42.568651,0.0,2024-08-30,2024-12-27
OFX,OFX GROUP LTD ORDINARY,6,0.006620660203787942,0.07049689343093833,0.18181818181818177,-0.15999996662139893,0.8333333333333334,0,-0.01729350162860883,200.29009800000003,0.36833333333333335,2025-10-31,2026-03-27
COH,COCHLEAR LIMITED ORDINARY,2,0.00658801577418982,0.1937137563549815,0.4197850019267325,-0.03235748921676951,0.5,0,-0.017392619479733817,17051.821472,4.615,2026-03-27,2026-04-24
MCP,MCPHERSON'S LTD ORDINARY,5,0.006297651324089474,0.07928485038942161,0.22727277242775945,-0.07843141608951454,0.8,0,-0.01712448860315605,36.9221614,0.022,2023-12-29,2025-10-31
AX1,ACCENT GROUP LTD ORDINARY,1,0.006185185703420777,0.36502923233686657,0.36502923233686657,0.36502923233686657,1.0,0,-0.017241379310344827,568.120461,4.01,2026-02-27,2026-02-27
ASB,AUSTAL LIMITED ORDINARY,10,0.005615965820376655,0.03732650909965333,0.24498567814817218,-0.23151127102788682,0.7,0,-0.01693065157072098,1655.43455,0.6519999999999999,2023-08-25,2026-04-24
RFG,RETAIL FOOD GROUP ORDINARY,4,0.005315720393535903,0.08225688624121774,0.2592592503397465,-0.08843536918467487,0.75,0,-0.01731699939503932,109.33353199999999,0.4575,2025-10-31,2026-02-27
EBO,EBOS GROUP LTD ORDINARY,5,0.00503993042510326,0.06444724675126008,0.11331375292337209,0.019659523562704062,1.0,0,-0.01719278410837722,5940.1215778,0.44400000000000006,2025-01-31,2026-04-24
GRR,GRANGE RESOURCES. ORDINARY,3,0.004952270051971292,0.1059825598557191,0.1250000633816707,0.0795454773314287,1.0,0,-0.01657559198542805,538.162635,0.47,2024-01-25,2024-06-28
NEU,NEUREN PHARMACEUT. ORDINARY,15,0.004808100339877413,0.026500039747361134,0.2270699011592462,-0.17423011279942213,0.6,0,-0.016918569446454538,2183.510553933333,4.4159999999999995,2024-07-26,2026-03-27
CST,CASTILE RESOURCES ORDINARY,14,0.004697113682607633,0.026775447682530224,0.2337662249697985,-0.1967212804396674,0.5,0,-0.016571071329337515,19.12472742857143,0.002857142857142857,2023-08-25,2025-06-27
REH,REECE LIMITED ORDINARY,10,0.004692490437247927,0.03497101324245196,0.30502089765318285,-0.059770128601492,0.4,0,-0.017073842687027233,10478.8749575,2.732,2025-01-31,2026-04-24
MAQ,MACQUARIE TECHNOLOGY ORDINARY,10,0.004493013047329165,0.03377189623473918,0.19355218859920875,-0.07827819889985577,0.4,0,-0.01678628801742502,2064.8223372,1.735,2025-01-31,2025-12-24
NVA,NOVA MINERALS LTD ORDINARY,4,0.004447364043733301,0.07174946279553482,0.2857142735500723,-0.15254243623590802,0.75,0,-0.016739603593590814,76.91967475,0.29000000000000004,2023-12-29,2025-03-28
IEL,IDP EDUCATION LTD ORDINARY,1,0.00444111084336146,0.2594317796100648,0.2594317796100648,0.2594317796100648,1.0,0,-0.017543859649122806,1608.645828,11.57,2026-01-30,2026-01-30
CLV,CLOVER CORPORATION ORDINARY,14,0.00432325310258267,0.025127232015624747,0.40853660685919513,-0.2432432849000845,0.5714285714285714,0,-0.016834944692791374,120.92657285714287,0.01,2023-07-28,2026-04-24
ABB,AUSSIE BROADBAND ORDINARY,4,0.003954554616413221,0.0660748102204036,0.10693643364936067,0.04654890775826759,1.0,0,-0.016605426794799323,1119.3661769999999,1.935,2024-04-26,2026-02-27
GNC,GRAINCORP LIMITED A CLASS ORDINARY,1,0.0038517082200375643,0.22968753830064026,0.22968753830064026,0.22968753830064026,1.0,0,-0.017241379310344827,1452.285713,3.76,2026-04-24,2026-04-24
TOE,TORO ENERGY LIMITED ORDINARY,13,0.003511649150249645,0.023156635228852893,0.2000000298023219,-0.44444442972724785,0.7692307692307693,0,-0.01671447442542862,34.77965476923077,0.43076923076923074,2024-01-25,2025-10-31
KAR,KAROON ENERGY LTD ORDINARY,7,0.0033884498510802475,0.03520413757439204,0.18493204438292765,-0.1266971372004515,0.7142857142857143,0,-0.016754129385511667,1276.1930848571428,2.202857142857143,2023-07-28,2025-10-31
CIA,CHAMPION IRON LTD ORDINARY,4,0.0031072773885808523,0.05369386673012208,0.19889506774938204,-0.03664919002920408,0.75,0,-0.016668982124664257,3331.950922,5.5575,2024-10-25,2025-02-28
SHL,SONIC HEALTHCARE ORDINARY,4,0.003100697702108769,0.051217183416159634,0.145291224504133,-0.01274204216474839,0.75,0,-0.017392619479733817,11170.987138,4.362500000000001,2026-01-30,2026-04-24
