model,strategy,filter,trail_months,threshold_pct,period,n_months,skipped_short_months,Sharpe,CAGR_%,MaxDD_%,hit_rate_%
naive,quintile_short,NONE,0,0,ALL,191,0,-0.294,-8.51,-82.72,47.1
naive,quintile_short,NONE,0,0,IS,156,0,-0.289,-8.79,-79.55,46.2
naive,quintile_short,NONE,0,0,OOS,35,0,-0.324,-7.22,-35.69,51.4
naive,long_short_quintile,NONE,0,0,ALL,191,0,0.624,8.16,-31.03,61.3
naive,long_short_quintile,NONE,0,0,IS,156,0,0.567,7.49,-31.03,59.6
naive,long_short_quintile,NONE,0,0,OOS,35,0,0.924,11.2,-10.81,68.6
naive,quintile_short,trail3m>5%,3,5,ALL,191,53,-0.175,-5.35,-72.43,34.0
naive,quintile_short,trail3m>5%,3,5,IS,156,44,-0.234,-7.0,-72.43,32.1
naive,quintile_short,trail3m>5%,3,5,OOS,35,9,0.246,2.34,-13.55,42.9
naive,long_short_quintile,trail3m>5%,3,5,ALL,191,53,0.514,5.35,-36.18,45.0
naive,long_short_quintile,trail3m>5%,3,5,IS,156,44,0.348,3.5,-36.18,42.9
naive,long_short_quintile,trail3m>5%,3,5,OOS,35,9,1.554,14.02,-6.3,54.3
naive,quintile_short,trail3m>10%,3,10,ALL,191,10,-0.282,-8.02,-80.32,43.5
naive,quintile_short,trail3m>10%,3,10,IS,156,9,-0.316,-9.16,-78.27,41.7
naive,quintile_short,trail3m>10%,3,10,OOS,35,1,-0.09,-2.77,-26.69,51.4
naive,long_short_quintile,trail3m>10%,3,10,ALL,191,10,0.535,6.13,-30.89,57.6
naive,long_short_quintile,trail3m>10%,3,10,IS,156,9,0.375,4.12,-30.89,55.1
naive,long_short_quintile,trail3m>10%,3,10,OOS,35,1,1.472,15.56,-8.77,68.6
naive,quintile_short,trail3m>15%,3,15,ALL,191,1,-0.29,-8.42,-82.47,47.1
naive,quintile_short,trail3m>15%,3,15,IS,156,1,-0.285,-8.69,-79.26,46.2
naive,quintile_short,trail3m>15%,3,15,OOS,35,0,-0.324,-7.22,-35.69,51.4
naive,long_short_quintile,trail3m>15%,3,15,ALL,191,1,0.572,7.05,-31.1,60.7
naive,long_short_quintile,trail3m>15%,3,15,IS,156,1,0.501,6.14,-31.1,59.0
naive,long_short_quintile,trail3m>15%,3,15,OOS,35,0,0.924,11.2,-10.81,68.6
naive,quintile_short,trail3m>20%,3,20,ALL,191,1,-0.29,-8.42,-82.47,47.1
naive,quintile_short,trail3m>20%,3,20,IS,156,1,-0.285,-8.69,-79.26,46.2
naive,quintile_short,trail3m>20%,3,20,OOS,35,0,-0.324,-7.22,-35.69,51.4
naive,long_short_quintile,trail3m>20%,3,20,ALL,191,1,0.572,7.05,-31.1,60.7
naive,long_short_quintile,trail3m>20%,3,20,IS,156,1,0.501,6.14,-31.1,59.0
naive,long_short_quintile,trail3m>20%,3,20,OOS,35,0,0.924,11.2,-10.81,68.6
naive,quintile_short,trail6m>5%,6,5,ALL,191,69,-0.258,-6.66,-74.53,28.8
naive,quintile_short,trail6m>5%,6,5,IS,156,56,-0.274,-7.34,-74.53,28.2
naive,quintile_short,trail6m>5%,6,5,OOS,35,13,-0.171,-3.58,-28.05,31.4
naive,long_short_quintile,trail6m>5%,6,5,ALL,191,69,0.308,3.01,-44.48,36.6
naive,long_short_quintile,trail6m>5%,6,5,IS,156,56,0.159,1.22,-44.48,34.6
naive,long_short_quintile,trail6m>5%,6,5,OOS,35,13,1.115,11.37,-10.63,45.7
naive,quintile_short,trail6m>10%,6,10,ALL,191,32,-0.2,-6.21,-75.58,38.2
naive,quintile_short,trail6m>10%,6,10,IS,156,28,-0.184,-6.17,-72.78,36.5
naive,quintile_short,trail6m>10%,6,10,OOS,35,4,-0.285,-6.38,-33.98,45.7
naive,long_short_quintile,trail6m>10%,6,10,ALL,191,32,0.389,4.34,-40.68,48.7
naive,long_short_quintile,trail6m>10%,6,10,IS,156,28,0.327,3.55,-40.68,46.8
naive,long_short_quintile,trail6m>10%,6,10,OOS,35,4,0.701,7.9,-13.22,57.1
naive,quintile_short,trail6m>15%,6,15,ALL,191,5,-0.284,-8.26,-81.84,46.1
naive,quintile_short,trail6m>15%,6,15,IS,156,5,-0.278,-8.5,-78.51,44.9
naive,quintile_short,trail6m>15%,6,15,OOS,35,0,-0.324,-7.22,-35.69,51.4
naive,long_short_quintile,trail6m>15%,6,15,ALL,191,5,0.604,7.81,-31.03,59.7
naive,long_short_quintile,trail6m>15%,6,15,IS,156,5,0.543,7.07,-31.03,57.7
naive,long_short_quintile,trail6m>15%,6,15,OOS,35,0,0.924,11.2,-10.81,68.6
naive,quintile_short,trail6m>20%,6,20,ALL,191,1,-0.287,-8.35,-82.25,47.1
naive,quintile_short,trail6m>20%,6,20,IS,156,1,-0.281,-8.61,-79.01,46.2
naive,quintile_short,trail6m>20%,6,20,OOS,35,0,-0.324,-7.22,-35.69,51.4
naive,long_short_quintile,trail6m>20%,6,20,ALL,191,1,0.637,8.34,-31.03,61.3
naive,long_short_quintile,trail6m>20%,6,20,IS,156,1,0.583,7.71,-31.03,59.6
naive,long_short_quintile,trail6m>20%,6,20,OOS,35,0,0.924,11.2,-10.81,68.6
ew,quintile_short,NONE,0,0,ALL,191,0,-0.202,-9.53,-86.2,46.1
ew,quintile_short,NONE,0,0,IS,156,0,-0.224,-10.71,-86.2,44.9
ew,quintile_short,NONE,0,0,OOS,35,0,-0.079,-4.08,-36.61,51.4
ew,long_short_quintile,NONE,0,0,ALL,191,0,0.577,10.19,-57.39,59.7
ew,long_short_quintile,NONE,0,0,IS,156,0,0.507,8.69,-57.39,62.2
ew,long_short_quintile,NONE,0,0,OOS,35,0,0.913,17.17,-16.55,48.6
ew,quintile_short,trail3m>5%,3,5,ALL,191,53,-0.126,-6.55,-80.65,36.1
ew,quintile_short,trail3m>5%,3,5,IS,156,44,-0.209,-9.28,-80.65,34.0
ew,quintile_short,trail3m>5%,3,5,OOS,35,9,0.471,6.66,-22.49,45.7
ew,long_short_quintile,trail3m>5%,3,5,ALL,191,53,0.48,7.31,-52.13,44.5
ew,long_short_quintile,trail3m>5%,3,5,IS,156,44,0.332,4.5,-52.13,44.9
ew,long_short_quintile,trail3m>5%,3,5,OOS,35,9,1.289,20.79,-16.34,42.9
ew,quintile_short,trail3m>10%,3,10,ALL,191,10,-0.172,-8.51,-83.04,44.0
ew,quintile_short,trail3m>10%,3,10,IS,156,9,-0.216,-10.25,-83.04,42.3
ew,quintile_short,trail3m>10%,3,10,OOS,35,1,0.09,-0.28,-35.89,51.4
ew,long_short_quintile,trail3m>10%,3,10,ALL,191,10,0.568,9.79,-51.44,57.1
ew,long_short_quintile,trail3m>10%,3,10,IS,156,9,0.462,7.54,-51.44,59.0
ew,long_short_quintile,trail3m>10%,3,10,OOS,35,1,1.092,20.43,-16.55,48.6
ew,quintile_short,trail3m>15%,3,15,ALL,191,1,-0.183,-9.0,-84.86,46.1
ew,quintile_short,trail3m>15%,3,15,IS,156,1,-0.201,-10.08,-84.86,44.9
ew,quintile_short,trail3m>15%,3,15,OOS,35,0,-0.079,-4.08,-36.61,51.4
ew,long_short_quintile,trail3m>15%,3,15,ALL,191,1,0.594,10.55,-55.14,59.7
ew,long_short_quintile,trail3m>15%,3,15,IS,156,1,0.527,9.12,-55.14,62.2
