model,bucket,period,n_positions,win_rate_pct,mean_trade_pct,median_trade_pct,mean_win_pct,mean_loss_pct,win_loss_magnitude_ratio,expected_value_pct,stdev_pct,p05_pct,p25_pct,p75_pct,p95_pct,worst_trade_pct,best_trade_pct,n_wins,n_losses,median_win_pct,median_loss_pct,pct_win_gt_10pct,pct_win_gt_25pct,pct_win_gt_50pct,pct_win_gt_100pct,pct_loss_gt_10pct,pct_loss_gt_25pct,pct_loss_gt_50pct,pct_loss_gt_100pct
ew,decile,IS,3358,53.22,-0.19,1.813,12.682,-14.832,0.855,-0.19,20.17,-32.13,-8.79,10.65,26.59,-250.0,79.07,1787,1571,9.814,-9.626,26.24,6.13,0.54,0.0,23.17,7.65,2.05,0.3
ew,decile,OOS,1039,53.8,0.696,2.135,14.387,-15.248,0.943,0.696,21.414,-33.38,-9.09,12.14,30.37,-218.18,61.86,559,480,11.268,-10.102,28.87,8.28,0.77,0.0,23.48,8.76,1.83,0.29
ew,quintile,IS,6723,52.15,-0.412,1.103,12.116,-14.065,0.861,-0.412,19.702,-31.44,-8.17,9.82,25.71,-250.0,79.07,3506,3217,9.375,-8.696,24.69,5.58,0.46,0.0,21.75,7.2,2.05,0.33
ew,quintile,OOS,2081,52.04,0.259,1.205,13.2,-13.784,0.958,0.259,19.948,-32.2,-8.09,10.85,27.54,-218.18,61.86,1083,998,10.256,-8.481,26.62,6.78,0.38,0.0,21.58,7.54,1.73,0.34
ew,tercile,IS,11094,51.0,-0.572,0.526,11.446,-13.08,0.875,-0.572,19.055,-29.08,-7.76,9.09,24.26,-359.18,79.07,5658,5436,8.929,-7.957,22.71,4.65,0.4,0.0,20.77,6.59,1.69,0.29
ew,tercile,OOS,3434,51.83,-0.117,0.89,12.018,-13.177,0.912,-0.117,19.3,-30.11,-7.42,9.49,25.87,-218.18,87.53,1780,1654,9.091,-7.963,24.05,5.39,0.26,0.0,20.24,6.84,1.69,0.38
ew,top-10,IS,1560,51.67,-0.562,1.126,13.357,-15.441,0.865,-0.562,20.859,-36.42,-9.28,10.97,27.37,-200.0,73.52,806,754,10.536,-10.0,26.67,6.99,0.64,0.0,24.29,8.78,2.31,0.32
ew,top-10,OOS,350,57.14,2.697,3.721,15.557,-14.45,1.077,2.697,19.796,-32.96,-7.62,13.46,35.43,-84.21,59.35,200,150,11.51,-11.428,32.0,10.86,0.86,0.0,23.14,8.0,0.86,0.0
ew,top-5,IS,780,51.54,-0.881,1.25,13.92,-16.621,0.837,-0.881,22.638,-37.88,-10.42,11.82,28.08,-200.0,66.67,402,378,11.23,-11.111,28.21,7.18,0.64,0.0,25.9,8.97,2.56,0.64
ew,top-5,OOS,175,57.71,3.363,3.99,16.548,-14.633,1.131,3.363,20.422,-35.88,-7.09,14.47,39.71,-52.38,54.55,101,74,12.381,-10.317,33.14,12.57,0.57,0.0,21.14,9.14,1.14,0.0
gbm_cls,decile,IS,2805,49.98,-1.189,0.0,9.777,-12.147,0.805,-1.189,16.708,-28.62,-6.95,7.4,20.85,-125.0,52.08,1402,1403,7.4,-6.952,18.4,3.07,0.11,0.0,18.97,6.2,1.75,0.25
gbm_cls,decile,OOS,1039,51.3,-1.155,0.667,11.509,-14.494,0.794,-1.155,20.772,-33.02,-6.74,8.7,25.0,-173.93,61.86,533,506,8.562,-7.54,21.75,4.81,0.67,0.0,20.89,7.51,2.79,0.58
gbm_cls,quintile,IS,5612,49.98,-0.809,0.0,9.821,-11.431,0.859,-0.809,15.942,-27.05,-6.7,7.43,20.9,-145.84,71.75,2805,2807,7.429,-6.7,18.71,3.1,0.21,0.0,18.16,5.67,1.44,0.14
gbm_cls,quintile,OOS,2081,50.74,-1.284,0.378,10.333,-13.252,0.78,-1.284,19.189,-30.48,-7.02,7.84,23.08,-217.54,61.86,1056,1025,7.692,-7.358,19.75,3.65,0.34,0.0,20.37,6.49,1.97,0.53
gbm_cls,tercile,IS,9259,49.59,-0.74,0.0,9.532,-10.847,0.879,-0.74,15.578,-25.0,-6.6,7.06,20.11,-221.43,71.75,4592,4667,7.143,-6.509,17.77,2.95,0.21,0.0,17.51,4.97,1.21,0.15
gbm_cls,tercile,OOS,3434,49.88,-1.061,0.0,10.148,-12.218,0.831,-1.061,17.904,-28.35,-6.99,7.39,22.4,-217.54,76.36,1713,1721,7.419,-6.976,18.78,3.52,0.26,0.0,19.42,5.94,1.63,0.41
gbm_cls,top-10,IS,1190,50.67,-0.866,0.384,9.983,-12.01,0.831,-0.866,16.879,-28.71,-6.45,8.0,21.68,-125.0,51.84,603,587,7.763,-6.522,19.75,3.03,0.08,0.0,18.49,6.22,1.6,0.25
gbm_cls,top-10,OOS,350,54.29,-0.772,1.731,11.651,-15.524,0.751,-0.772,21.991,-32.64,-6.09,10.0,24.68,-173.93,61.86,190,160,9.136,-7.57,24.0,4.57,0.86,0.0,20.29,6.57,2.57,0.86
gbm_cls,top-5,IS,595,48.57,-1.212,0.0,9.985,-11.787,0.847,-1.212,16.394,-28.76,-7.01,7.29,20.12,-125.0,51.84,289,306,8.0,-6.774,18.82,3.19,0.17,0.0,20.0,6.05,1.18,0.17
gbm_cls,top-5,OOS,175,52.57,-1.523,1.235,12.418,-16.976,0.732,-1.523,24.003,-31.2,-9.07,10.0,27.93,-173.93,59.02,92,83,9.651,-10.0,24.57,5.71,1.14,0.0,23.43,7.43,3.43,1.14
gbm_rank,decile,IS,2805,53.98,-0.577,2.222,12.811,-16.276,0.787,-0.577,21.458,-36.0,-8.37,11.58,26.09,-221.43,53.23,1514,1291,10.788,-9.388,28.45,5.67,0.21,0.0,22.42,9.09,2.82,0.43
gbm_rank,decile,OOS,1039,54.38,-0.983,2.553,14.743,-19.727,0.747,-0.983,26.194,-45.89,-9.86,13.92,29.32,-217.54,76.36,565,474,12.857,-11.648,32.05,7.8,0.67,0.0,24.45,11.26,3.95,0.96
gbm_rank,quintile,IS,5612,52.55,-0.797,1.424,12.438,-15.454,0.805,-0.797,20.715,-34.22,-8.82,10.74,25.3,-221.43,68.92,2949,2663,10.169,-9.526,26.55,5.13,0.34,0.0,23.2,8.41,2.49,0.39
gbm_rank,quintile,OOS,2081,52.43,-0.917,1.802,14.134,-17.504,0.808,-0.917,23.601,-40.82,-9.72,12.55,28.2,-217.54,87.53,1091,990,11.765,-10.455,29.65,7.02,0.58,0.0,24.51,10.28,3.41,0.62
gbm_rank,tercile,IS,9259,51.73,-0.759,0.98,11.817,-14.238,0.83,-0.759,19.429,-32.0,-8.33,9.8,24.58,-221.43,68.92,4790,4469,9.477,-8.823,24.56,4.78,0.35,0.0,22.23,7.6,2.12,0.31
gbm_rank,tercile,OOS,3434,51.25,-0.905,0.948,13.065,-15.593,0.838,-0.905,21.542,-36.07,-9.14,10.76,26.82,-218.18,87.53,1760,1674,10.526,-9.604,26.53,6.09,0.47,0.0,23.65,9.11,2.5,0.5
gbm_rank,top-10,IS,1190,56.13,0.173,3.38,13.327,-16.66,0.8,0.173,22.002,-37.23,-7.46,12.5,28.22,-191.35,53.23,668,522,11.248,-9.007,31.6,6.64,0.34,0.0,20.84,8.82,2.86,0.5
gbm_rank,top-10,OOS,350,56.86,0.256,3.212,15.508,-19.844,0.781,0.256,27.091,-45.48,-7.92,14.97,30.32,-217.54,57.83,199,151,13.793,-11.702,35.14,9.14,0.86,0.0,22.86,9.71,3.43,0.86
gbm_rank,top-5,IS,595,57.48,0.77,3.415,13.142,-15.953,0.824,0.77,21.865,-33.33,-6.52,12.63,28.01,-191.35,52.08,342,253,11.389,-8.571,33.28,6.22,0.17,0.0,19.33,7.06,2.52,0.67
gbm_rank,top-5,OOS,175,60.0,0.1,4.545,15.073,-22.36,0.674,0.1,30.189,-43.26,-6.6,15.58,30.31,-217.54,52.02,105,70,13.636,-12.222,36.57,9.14,0.57,0.0,21.14,9.14,2.86,1.71
logit,decile,IS,2805,51.73,-0.621,0.781,11.532,-13.645,0.845,-0.621,19.312,-30.0,-7.96,9.52,23.93,-221.43,70.0,1451,1354,9.091,-8.411,23.6,4.46,0.36,0.0,21.39,7.17,1.96,0.32
logit,decile,OOS,1039,53.61,-0.185,1.923,13.406,-15.892,0.844,-0.185,23.186,-32.73,-7.99,10.77,29.36,-217.54,61.86,557,482,10.0,-9.101,26.56,7.8,0.77,0.0,21.75,7.51,2.21,0.77
logit,quintile,IS,5612,51.23,-0.554,0.537,10.991,-12.681,0.867,-0.554,17.896,-28.57,-7.51,8.77,23.08,-221.43,70.0,2875,2737,8.52,-7.773,21.67,4.19,0.3,0.0,20.42,6.33,1.6,0.25
logit,quintile,OOS,2081,53.44,-0.329,1.714,12.575,-15.136,0.831,-0.329,21.692,-32.99,-7.95,10.07,27.6,-218.18,87.53,1112,969,9.148,-8.75,25.18,6.73,0.53,0.0,21.43,7.69,2.02,0.62
logit,tercile,IS,9259,49.78,-0.798,0.0,10.598,-12.095,0.876,-0.798,17.42,-27.51,-7.38,8.16,22.19,-221.43,75.91,4609,4650,8.205,-7.344,20.36,3.75,0.27,0.0,19.48,5.92,1.59,0.26
logit,tercile,OOS,3434,51.54,-0.587,0.633,11.649,-13.603,0.856,-0.587,19.577,-31.59,-7.87,9.02,25.18,-218.18,87.53,1770,1664,8.654,-8.322,22.63,5.13,0.44,0.0,20.65,7.13,1.69,0.44
logit,top-10,IS,1190,54.37,-0.69,1.954,11.662,-15.407,0.757,-0.69,21.693,-33.06,-7.34,10.26,24.18,-221.43,59.7,647,543,9.569,-8.556,25.55,4.54,0.42,0.0,21.18,7.82,2.77,0.42
logit,top-10,OOS,350,51.71,-0.769,1.139,13.625,-16.184,0.842,-0.769,24.858,-32.55,-8.46,10.0,30.68,-217.54,61.86,181,169,10.0,-8.86,24.86,9.14,0.86,0.0,22.57,7.14,2.57,1.14
logit,top-5,IS,595,55.46,-0.186,2.265,11.707,-14.996,0.781,-0.186,20.31,-34.29,-6.91,10.53,24.14,-191.35,59.7,330,265,9.571,-8.447,25.88,4.2,0.5,0.0,21.01,7.73,2.35,0.17
logit,top-5,OOS,175,49.14,-0.214,0.0,14.8,-14.722,1.005,-0.214,22.96,-32.34,-7.81,10.77,30.63,-123.98,57.14,86,89,11.158,-7.643,26.29,9.71,0.57,0.0,21.71,6.29,2.86,1.14
naive,decile,IS,3358,48.78,-0.504,0.0,9.489,-10.021,0.947,-0.504,13.809,-21.76,-7.11,7.13,20.56,-134.11,69.62,1638,1720,7.31,-6.933,17.39,2.83,0.15,0.0,18.46,3.9,0.63,0.03
naive,decile,OOS,1039,50.82,0.268,0.411,11.444,-11.28,1.015,0.268,15.577,-26.19,-7.49,8.59,25.0,-66.56,61.86,528,511,8.433,-7.643,21.37,4.91,0.48,0.0,19.44,5.77,0.58,0.0
naive,quintile,IS,6723,49.35,-0.402,0.0,9.397,-9.951,0.944,-0.402,13.798,-21.96,-6.93,7.07,20.09,-134.11,73.52,3318,3405,7.193,-6.792,17.4,2.87,0.13,0.0,18.03,3.85,0.64,0.04
naive,quintile,OOS,2081,50.94,0.005,0.444,10.562,-10.954,0.964,0.005,15.404,-25.0,-7.22,7.82,23.64,-177.42,61.86,1060,1021,7.562,-7.409,19.37,4.18,0.24,0.0,19.13,5.0,0.53,0.1
naive,tercile,IS,11094,48.42,-0.596,-0.004,9.223,-9.813,0.94,-0.596,14.462,-21.95,-6.71,6.52,19.72,-359.18,73.52,5372,5722,6.834,-6.436,16.41,2.78,0.21,0.0,17.32,3.88,0.68,0.09
naive,tercile,OOS,3434,50.47,-0.115,0.243,9.624,-10.037,0.959,-0.115,14.547,-21.84,-6.61,7.03,21.57,-218.18,61.86,1733,1701,6.982,-6.716,17.27,3.29,0.15,0.0,17.38,3.99,0.5,0.09
naive,top-10,IS,1560,49.81,-0.165,0.0,9.63,-9.885,0.974,-0.165,13.71,-21.37,-7.03,7.28,21.47,-80.95,59.7,777,783,7.317,-6.997,17.95,3.14,0.19,0.0,17.5,3.97,0.64,0.0
naive,top-10,OOS,350,52.0,1.308,1.423,13.273,-11.655,1.139,1.308,16.454,-28.29,-7.86,10.06,26.68,-52.31,54.55,182,168,9.408,-8.285,25.14,7.14,0.57,0.0,20.86,6.86,0.29,0.0
naive,top-5,IS,780,49.36,-0.52,-0.02,9.64,-10.421,0.925,-0.52,13.972,-23.48,-7.51,7.53,20.58,-63.04,52.53,385,395,7.586,-7.443,17.31,2.95,0.13,0.0,19.1,4.62,1.03,0.0
naive,top-5,OOS,175,52.57,0.769,1.442,13.516,-13.36,1.012,0.769,17.285,-30.17,-8.41,10.83,26.68,-52.31,49.41,92,83,10.636,-9.61,27.43,8.57,0.0,0.0,22.86,9.14,0.57,0.0
ew,decile,ALL,4397,53.35,0.019,1.852,13.088,-14.929,0.877,0.019,20.472,-32.56,-8.82,11.04,27.27,-250.0,79.07,2346,2051,10.145,-9.963,26.86,6.64,0.59,0.0,23.24,7.91,2.0,0.3
ew,quintile,ALL,8804,52.12,-0.253,1.113,12.372,-13.999,0.884,-0.253,19.762,-31.77,-8.15,10.07,26.19,-250.0,79.07,4589,4215,9.535,-8.654,25.15,5.86,0.44,0.0,21.71,7.28,1.98,0.33
ew,tercile,ALL,14528,51.2,-0.464,0.604,11.583,-13.103,0.884,-0.464,19.114,-29.43,-7.69,9.1,24.8,-359.18,87.53,7438,7090,8.95,-7.958,23.02,4.83,0.36,0.0,20.64,6.65,1.69,0.31
ew,top-10,ALL,1910,52.67,0.035,1.571,13.795,-15.277,0.903,0.035,20.702,-35.79,-9.09,11.42,28.6,-200.0,73.52,1006,904,10.761,-10.256,27.64,7.7,0.68,0.0,24.08,8.64,2.04,0.26
ew,top-5,ALL,955,52.67,-0.103,1.827,14.448,-16.296,0.887,-0.103,22.299,-37.76,-9.99,12.31,31.03,-200.0,66.67,503,452,11.532,-11.111,29.11,8.17,0.63,0.0,25.03,9.01,2.3,0.52
gbm_cls,decile,ALL,3844,50.34,-1.18,0.284,10.254,-12.769,0.803,-1.18,17.895,-29.82,-6.9,7.88,22.27,-173.93,61.86,1935,1909,7.792,-6.986,19.3,3.54,0.26,0.0,19.48,6.56,2.03,0.34
gbm_cls,quintile,ALL,7693,50.19,-0.938,0.205,9.961,-11.918,0.836,-0.938,16.882,-27.88,-6.76,7.57,21.48,-217.54,71.75,3861,3832,7.52,-6.792,18.99,3.25,0.25,0.0,18.76,5.89,1.59,0.25
gbm_cls,tercile,ALL,12693,49.67,-0.827,0.0,9.699,-11.216,0.865,-0.827,16.24,-25.59,-6.67,7.14,20.83,-221.43,76.36,6305,6388,7.234,-6.614,18.04,3.1,0.22,0.0,18.03,5.23,1.32,0.22
gbm_cls,top-10,ALL,1540,51.49,-0.844,0.697,10.383,-12.763,0.814,-0.844,18.16,-29.07,-6.37,8.57,22.5,-173.93,61.86,793,747,8.333,-6.623,20.71,3.38,0.26,0.0,18.9,6.3,1.82,0.39
gbm_cls,top-5,ALL,770,49.48,-1.282,0.0,10.573,-12.894,0.82,-1.282,18.384,-29.19,-7.12,8.16,21.91,-173.93,59.02,381,389,8.333,-7.035,20.13,3.77,0.39,0.0,20.78,6.36,1.69,0.39
gbm_rank,decile,ALL,3844,54.08,-0.686,2.276,13.336,-17.203,0.775,-0.686,22.832,-40.0,-8.7,12.12,27.49,-221.43,76.36,2079,1765,11.111,-10.0,29.42,6.24,0.34,0.0,22.97,9.68,3.12,0.57
gbm_rank,quintile,ALL,7693,52.52,-0.829,1.538,12.896,-16.009,0.806,-0.829,21.532,-36.42,-9.09,11.11,26.33,-221.43,87.53,4040,3653,10.55,-9.927,27.39,5.64,0.4,0.0,23.55,8.92,2.74,0.45
gbm_rank,tercile,ALL,12693,51.6,-0.798,0.977,12.152,-14.607,0.832,-0.798,20.022,-33.33,-8.54,10.0,25.29,-221.43,87.53,6550,6143,9.677,-9.0,25.09,5.14,0.38,0.0,22.61,8.01,2.22,0.36
gbm_rank,top-10,ALL,1540,56.3,0.192,3.371,13.828,-17.375,0.796,0.192,23.247,-39.17,-7.49,13.03,28.4,-217.54,57.83,867,673,11.539,-9.375,32.4,7.21,0.45,0.0,21.3,9.03,2.99,0.58
gbm_rank,top-5,ALL,770,58.05,0.618,3.768,13.596,-17.342,0.784,0.618,23.991,-35.4,-6.52,13.3,28.22,-217.54,52.08,447,323,11.565,-9.091,34.03,6.88,0.26,0.0,19.74,7.53,2.6,0.91
logit,decile,ALL,3844,52.24,-0.503,1.041,12.052,-14.235,0.847,-0.503,20.429,-31.74,-7.97,9.78,25.6,-221.43,70.0,2008,1836,9.403,-8.632,24.4,5.36,0.47,0.0,21.49,7.26,2.03,0.44
logit,quintile,ALL,7693,51.83,-0.493,0.809,11.433,-13.323,0.858,-0.493,18.997,-29.93,-7.66,9.09,25.0,-221.43,87.53,3987,3706,8.696,-8.081,22.62,4.87,0.36,0.0,20.69,6.69,1.72,0.35
logit,tercile,ALL,12693,50.26,-0.741,0.229,10.89,-12.492,0.872,-0.741,18.028,-28.62,-7.45,8.36,23.17,-221.43,87.53,6379,6314,8.333,-7.53,20.97,4.12,0.32,0.0,19.8,6.25,1.62,0.31
