model,period,stop_pct,Sharpe,CAGR_%,MaxDD_%,hit_rate_%
naive,IS,off,0.57,7.5,-31.0,59.6
naive,OOS,off,0.92,11.2,-10.8,68.6
logit,IS,off,0.24,2.5,-37.6,56.3
logit,OOS,off,0.24,2.9,-37.1,48.6
gbm_rank,IS,off,-0.06,-3.3,-66.0,57.1
gbm_rank,OOS,off,-0.21,-8.2,-51.6,37.1
naive,IS,0.20,1.48,21.2,-15.4,67.9
naive,OOS,0.20,2.83,32.6,-4.9,85.7
logit,IS,0.20,1.96,24.8,-11.7,72.3
logit,OOS,0.20,2.16,36.0,-10.1,71.4
gbm_rank,IS,0.20,1.79,27.2,-15.8,71.4
gbm_rank,OOS,0.20,1.64,34.6,-20.3,68.6
naive,IS,0.15,2.0,29.8,-12.2,70.5
naive,OOS,0.15,3.85,44.9,-4.2,88.6
logit,IS,0.15,2.59,34.0,-9.7,79.8
logit,OOS,0.15,2.8,47.1,-6.5,77.1
gbm_rank,IS,0.15,2.47,37.6,-7.6,76.5
gbm_rank,OOS,0.15,2.23,47.4,-15.0,71.4
naive,IS,0.12,2.48,38.3,-9.9,75.0
naive,OOS,0.12,4.89,57.0,-3.4,91.4
logit,IS,0.12,3.13,42.5,-7.9,84.9
logit,OOS,0.12,3.35,57.2,-5.1,85.7
gbm_rank,IS,0.12,3.03,46.6,-6.3,81.5
gbm_rank,OOS,0.12,2.74,58.6,-11.2,80.0
naive,IS,0.10,2.89,46.1,-8.2,78.8
naive,OOS,0.10,5.79,67.8,-2.6,91.4
logit,IS,0.10,3.58,50.1,-5.9,88.2
logit,OOS,0.10,3.82,65.9,-4.0,85.7
gbm_rank,IS,0.10,3.5,54.4,-5.2,84.9
gbm_rank,OOS,0.10,3.15,67.9,-8.8,80.0
naive,IS,0.08,3.44,56.8,-6.0,84.6
naive,OOS,0.08,6.9,81.7,-1.8,94.3
logit,IS,0.08,4.14,60.1,-4.0,93.3
logit,OOS,0.08,4.35,76.6,-3.2,97.1
gbm_rank,IS,0.08,4.07,64.3,-3.9,88.2
gbm_rank,OOS,0.08,3.65,79.3,-5.9,82.9
