stop_slippage_pct,model,strategy,CAGR,Sharpe,MaxDD,n_stops,stop_slippage_drag
0.000,naive,long_short_quintile,0.3453,2.286,-0.0642,1172,0.0
0.000,logit,long_short_quintile,0.2059,1.773,-0.0985,137,0.0
0.000,gbm_rank,long_short_quintile,0.2615,1.275,-0.3054,687,0.0
0.000,gbm_cls,long_short_quintile,0.1866,1.245,-0.2237,610,0.0
0.000,ew,long_short_quintile,0.0891,0.636,-0.2652,1003,0.0
0.005,naive,long_short_quintile,0.323,2.151,-0.0665,1172,0.0684
0.005,logit,long_short_quintile,0.1961,1.695,-0.103,137,0.0144
0.005,gbm_rank,long_short_quintile,0.2355,1.163,-0.3148,687,0.0393
0.005,gbm_cls,long_short_quintile,0.165,1.115,-0.2335,610,0.0349
0.005,ew,long_short_quintile,0.0734,0.539,-0.2776,1003,0.0587
0.010,naive,long_short_quintile,0.301,2.018,-0.0689,1172,0.1368
0.010,logit,long_short_quintile,0.1863,1.617,-0.1075,137,0.0288
0.010,gbm_rank,long_short_quintile,0.21,1.052,-0.324,687,0.0786
0.010,gbm_cls,long_short_quintile,0.1438,0.985,-0.2431,610,0.0697
0.010,ew,long_short_quintile,0.058,0.443,-0.2898,1003,0.1174
0.015,naive,long_short_quintile,0.2793,1.886,-0.0713,1172,0.2052
0.015,logit,long_short_quintile,0.1766,1.539,-0.112,137,0.0432
0.015,gbm_rank,long_short_quintile,0.1851,0.942,-0.3332,687,0.1179
0.015,gbm_cls,long_short_quintile,0.123,0.857,-0.2526,610,0.1046
0.015,ew,long_short_quintile,0.0427,0.348,-0.3018,1003,0.1761
0.020,naive,long_short_quintile,0.258,1.755,-0.0736,1172,0.2735
0.020,logit,long_short_quintile,0.1669,1.461,-0.1164,137,0.0576
0.020,gbm_rank,long_short_quintile,0.1606,0.835,-0.3423,687,0.1572
0.020,gbm_cls,long_short_quintile,0.1025,0.73,-0.262,610,0.1395
0.020,ew,long_short_quintile,0.0277,0.253,-0.3135,1003,0.2349
