symbol,symbol_yh,n_months,corr_monthly,median_abs_diff_pct,flag
A2M.AX,A2M.AX,136,0.9998937751764937,0.0,ok
AFG.AX,AFG.AX,134,0.9986403162843085,7.47294027462531e-06,ok
AGI.AX,AGI.AX,206,0.9997225555057676,0.0,ok
AGO.AX,AGO.AX,9,1.0,0.0,ok
AGY.AX,AGY.AX,206,0.9999786964825557,0.0,ok
ALK.AX,ALK.AX,206,0.9999992221208219,0.0,ok
ASG.AX,ASG.AX,116,0.9999244755337522,6.856991019980742e-06,ok
AUB.AX,AUB.AX,206,0.9999999999951575,8.78873034711535e-06,ok
AX1.AX,AX1.AX,206,0.999822851958662,1.0049684635871283e-05,ok
BAP.AX,BAP.AX,147,0.9993252637634263,6.4519754626211584e-06,ok
BCI.AX,BCI.AX,206,0.9999823264207787,0.0,ok
BHP.AX,BHP.AX,206,0.9996843135135433,9.50319337363334e-06,ok
BOT.AX,BOT.AX,206,0.9999466879259878,0.0,ok
BWP.AX,BWP.AX,206,0.999923622104755,7.71625181524824e-06,ok
CCV.AX,CCV.AX,206,0.9999460258051146,8.367990061505564e-06,ok
CDA.AX,CDA.AX,206,0.9999334049365985,8.86979268985012e-06,ok
CWY.AX,CWY.AX,206,0.9999785186966654,9.06534061518287e-06,ok
DUB.AX,DUB.AX,206,0.9999999999999998,0.0,ok
DYL.AX,DYL.AX,206,0.999781010604483,0.0,ok
EBO.AX,EBO.AX,151,0.9996926000910791,8.326106966328806e-06,ok
EGH.AX,EGH.AX,206,0.9999999999994129,8.273610739204236e-06,ok
EMR.AX,EMR.AX,206,0.9999961688248061,0.0,ok
EWC.AX,EWC.AX,206,0.9904070539043117,0.0,ok
FXJ.AX,FXJ.AX,116,0.9999999999986859,8.348917591572959e-06,ok
GPR.AX,GPR.AX,206,0.9999802947307688,0.0,ok
GWA.AX,GWA.AX,206,0.9999929274777726,7.754531901521677e-06,ok
HUB.AX,HUB.AX,206,0.9999921663674264,7.740236398488127e-06,ok
JIN.AX,JIN.AX,206,0.9999870457135175,7.755602784400407e-06,ok
KAR.AX,KAR.AX,206,0.9999687064099065,0.0,ok
KCN.AX,KCN.AX,206,0.9994940423958437,0.0,ok
LOV.AX,LOV.AX,139,0.9992165954597577,7.0633660216495e-06,ok
MDL.AX,MDL.AX,112,0.9999999999999999,0.0,ok
MFG.AX,MFG.AX,206,0.9999997175206102,9.015997450513035e-06,ok
MYX.AX,MYX.AX,206,1.0,0.0,ok
NAN.AX,NAN.AX,206,0.9999723880578525,0.0,ok
NVX.AX,NVX.AX,127,0.9999791327832808,0.0,ok
OCL.AX,OCL.AX,206,0.9995350896959198,7.700030196907973e-06,ok
PNR.AX,PNR.AX,206,0.9999809418533179,0.0,ok
REG.AX,REG.AX,141,0.9999993708584911,7.0106709422411845e-06,ok
RIO.AX,RIO.AX,206,0.999852708557166,7.83433422360817e-06,ok
RRL.AX,RRL.AX,206,0.9999996039386168,2.989769010446253e-06,ok
SBM.AX,SBM.AX,206,0.9999833186351578,0.0,ok
SKT.AX,SKT.AX,206,0.9999823293383792,7.818302421396033e-06,ok
SLC.AX,SLC.AX,133,0.999998100995463,0.0,ok
SPL.AX,SPL.AX,206,0.9999953938828118,0.0,ok
SRG.AX,SRG.AX,206,0.9998582542139752,9.157647977259517e-06,ok
TER.AX,TER.AX,192,0.9999999999998141,6.802292920600897e-06,ok
TOE.AX,TOE.AX,206,0.999360999904202,0.0,ok
TUA.AX,TUA.AX,73,0.9977732922929807,0.0,ok
WGN.AX,WGN.AX,103,0.9996758321057441,0.0,ok
